ntw,fdr,solve_time,n_bus,termination_status,objective,criterion,rescaler,eq_model,linear_solver,tol
17,5,0.8357870578765869,316,OPTIMAL,272.19380667388555,rwlav,1000.0,rIVR,gurobi,1.0e-5
17,5,0.6132619380950928,316,LOCALLY_SOLVED,247.18410685891942,rwlav,1000.0,rIVR,ma27,1.0e-5
17,6,0.5209019184112549,438,OPTIMAL,367.94349465806783,rwlav,1000.0,rIVR,gurobi,1.0e-5
17,6,0.8850259780883789,438,LOCALLY_SOLVED,341.92999026509057,rwlav,1000.0,rIVR,ma27,1.0e-5
17,7,0.23828601837158203,221,OPTIMAL,205.33194197809317,rwlav,1000.0,rIVR,gurobi,1.0e-5
17,7,0.4768249988555908,221,LOCALLY_SOLVED,190.86638521277445,rwlav,1000.0,rIVR,ma27,1.0e-5
18,1,0.09102511405944824,106,OPTIMAL,112.49806308174374,rwlav,1000.0,rIVR,gurobi,1.0e-5
18,1,0.19669890403747559,106,LOCALLY_SOLVED,94.72784368224085,rwlav,1000.0,rIVR,ma27,1.0e-5
18,2,0.029953956604003906,53,OPTIMAL,75.29625235187072,rwlav,1000.0,rIVR,gurobi,1.0e-5
18,2,0.10288095474243164,53,LOCALLY_SOLVED,47.37185099669962,rwlav,1000.0,rIVR,ma27,1.0e-5
18,3,0.11066794395446777,110,OPTIMAL,102.9328143547917,rwlav,1000.0,rIVR,gurobi,1.0e-5
18,3,0.3652520179748535,110,LOCALLY_SOLVED,87.36928681982823,rwlav,1000.0,rIVR,ma27,1.0e-5
18,4,0.049127817153930664,74,OPTIMAL,89.82312550848846,rwlav,1000.0,rIVR,gurobi,1.0e-5
18,4,0.13267898559570312,74,LOCALLY_SOLVED,62.17064583036875,rwlav,1000.0,rIVR,ma27,1.0e-5
18,5,0.062271833419799805,88,OPTIMAL,107.63318503208454,rwlav,1000.0,rIVR,gurobi,1.0e-5
18,5,0.14221906661987305,88,LOCALLY_SOLVED,74.00729363535321,rwlav,1000.0,rIVR,ma27,1.0e-5
18,6,0.024692058563232422,46,OPTIMAL,68.80916646700328,rwlav,1000.0,rIVR,gurobi,1.0e-5
18,6,0.08411192893981934,46,LOCALLY_SOLVED,44.43078894256386,rwlav,1000.0,rIVR,ma27,1.0e-5
18,7,0.04080915451049805,58,OPTIMAL,81.7521660004468,rwlav,1000.0,rIVR,gurobi,1.0e-5
18,7,0.1283271312713623,58,LOCALLY_SOLVED,53.292567224787945,rwlav,1000.0,rIVR,ma27,1.0e-5
18,8,0.027126073837280273,48,OPTIMAL,77.26369416734056,rwlav,1000.0,rIVR,gurobi,1.0e-5
18,8,0.08669614791870117,48,LOCALLY_SOLVED,42.93496455970337,rwlav,1000.0,rIVR,ma27,1.0e-5
18,9,0.054572105407714844,98,OPTIMAL,117.26181975528797,rwlav,1000.0,rIVR,gurobi,1.0e-5
18,9,0.2096400260925293,98,LOCALLY_SOLVED,85.87804375123011,rwlav,1000.0,rIVR,ma27,1.0e-5
19,1,0.09412908554077148,111,OPTIMAL,101.01161695474816,rwlav,1000.0,rIVR,gurobi,1.0e-5
19,1,0.2355031967163086,111,LOCALLY_SOLVED,85.88321823745008,rwlav,1000.0,rIVR,ma27,1.0e-5
19,2,0.2691340446472168,214,OPTIMAL,202.70333562939388,rwlav,1000.0,rIVR,gurobi,1.0e-5
19,2,0.4254128932952881,214,LOCALLY_SOLVED,176.14738362247644,rwlav,1000.0,rIVR,ma27,1.0e-5
19,3,0.20652413368225098,138,OPTIMAL,131.75098367023043,rwlav,1000.0,rIVR,gurobi,1.0e-5
19,3,0.31380605697631836,138,LOCALLY_SOLVED,108.29649500030582,rwlav,1000.0,rIVR,ma27,1.0e-5
19,4,0.07316994667053223,111,OPTIMAL,111.19553519754398,rwlav,1000.0,rIVR,gurobi,1.0e-5
19,4,0.19998812675476074,111,LOCALLY_SOLVED,91.36971869473953,rwlav,1000.0,rIVR,ma27,1.0e-5
19,5,0.1854701042175293,149,OPTIMAL,135.27022548841686,rwlav,1000.0,rIVR,gurobi,1.0e-5
19,5,0.31244587898254395,149,LOCALLY_SOLVED,119.96743323558813,rwlav,1000.0,rIVR,ma27,1.0e-5
20,1,0.015563011169433594,29,OPTIMAL,65.59378177782864,rwlav,1000.0,rIVR,gurobi,1.0e-5
20,1,0.07086896896362305,29,LOCALLY_SOLVED,48.84804722902089,rwlav,1000.0,rIVR,ma27,1.0e-5
20,2,0.03479194641113281,56,OPTIMAL,72.49511752618261,rwlav,1000.0,rIVR,gurobi,1.0e-5
20,2,0.15630698204040527,56,LOCALLY_SOLVED,50.334806545488185,rwlav,1000.0,rIVR,ma27,1.0e-5
20,3,0.08857917785644531,94,OPTIMAL,179.20134999859098,rwlav,1000.0,rIVR,gurobi,1.0e-5
20,3,0.2841329574584961,94,LOCALLY_SOLVED,99.20218669111468,rwlav,1000.0,rIVR,ma27,1.0e-5
20,4,0.02127218246459961,32,OPTIMAL,68.6771296535428,rwlav,1000.0,rIVR,gurobi,1.0e-5
20,4,0.07774186134338379,32,LOCALLY_SOLVED,54.76583442245421,rwlav,1000.0,rIVR,ma27,1.0e-5
20,5,0.014136075973510742,26,OPTIMAL,63.52663358347903,rwlav,1000.0,rIVR,gurobi,1.0e-5
20,5,0.06762504577636719,26,LOCALLY_SOLVED,45.88882516070519,rwlav,1000.0,rIVR,ma27,1.0e-5
21,1,0.03145909309387207,51,OPTIMAL,58.974127174835424,rwlav,1000.0,rIVR,gurobi,1.0e-5
21,1,0.10187315940856934,51,LOCALLY_SOLVED,44.41208292595683,rwlav,1000.0,rIVR,ma27,1.0e-5
21,2,0.02523517608642578,50,OPTIMAL,62.09076759242638,rwlav,1000.0,rIVR,gurobi,1.0e-5
21,2,0.08766007423400879,50,LOCALLY_SOLVED,45.88984220012195,rwlav,1000.0,rIVR,ma27,1.0e-5
21,3,0.1194460391998291,132,OPTIMAL,131.73417518904287,rwlav,1000.0,rIVR,gurobi,1.0e-5
21,3,0.24315810203552246,132,LOCALLY_SOLVED,110.99922289541713,rwlav,1000.0,rIVR,ma27,1.0e-5
21,4,0.024071931838989258,42,OPTIMAL,55.75337447776695,rwlav,1000.0,rIVR,gurobi,1.0e-5
21,4,0.08228397369384766,42,LOCALLY_SOLVED,38.49232294243706,rwlav,1000.0,rIVR,ma27,1.0e-5
21,5,0.04233980178833008,62,OPTIMAL,68.95519249975747,rwlav,1000.0,rIVR,gurobi,1.0e-5
21,5,0.12489008903503418,62,LOCALLY_SOLVED,51.808517244316555,rwlav,1000.0,rIVR,ma27,1.0e-5
22,1,0.03484296798706055,60,OPTIMAL,81.69712255589924,rwlav,1000.0,rIVR,gurobi,1.0e-5
22,1,0.10562300682067871,60,LOCALLY_SOLVED,57.731066447582215,rwlav,1000.0,rIVR,ma27,1.0e-5
22,2,0.012065887451171875,29,OPTIMAL,52.031538359818796,rwlav,1000.0,rIVR,gurobi,1.0e-5
22,2,0.054212093353271484,29,LOCALLY_SOLVED,31.096601478422258,rwlav,1000.0,rIVR,ma27,1.0e-5
22,3,0.06352591514587402,100,OPTIMAL,104.36687592176618,rwlav,1000.0,rIVR,gurobi,1.0e-5
22,3,0.19406700134277344,100,LOCALLY_SOLVED,82.91532834338315,rwlav,1000.0,rIVR,ma27,1.0e-5
22,4,0.04435610771179199,56,OPTIMAL,71.89824454312262,rwlav,1000.0,rIVR,gurobi,1.0e-5
22,4,0.11519098281860352,56,LOCALLY_SOLVED,50.33899733839635,rwlav,1000.0,rIVR,ma27,1.0e-5
22,5,0.05339789390563965,63,OPTIMAL,74.74176474505236,rwlav,1000.0,rIVR,gurobi,1.0e-5
22,5,0.12186813354492188,63,LOCALLY_SOLVED,54.78431349321134,rwlav,1000.0,rIVR,ma27,1.0e-5
22,6,0.06696796417236328,78,OPTIMAL,91.31044792601584,rwlav,1000.0,rIVR,gurobi,1.0e-5
22,6,0.14870810508728027,78,LOCALLY_SOLVED,66.62290931796724,rwlav,1000.0,rIVR,ma27,1.0e-5
23,1,0.38007092475891113,195,OPTIMAL,195.11683342515494,rwlav,1000.0,rIVR,gurobi,1.0e-5
23,1,0.46363401412963867,195,LOCALLY_SOLVED,176.1900878271062,rwlav,1000.0,rIVR,ma27,1.0e-5
23,2,0.08283591270446777,100,OPTIMAL,100.90545669199145,rwlav,1000.0,rIVR,gurobi,1.0e-5
23,2,0.17746591567993164,100,LOCALLY_SOLVED,79.9287786488708,rwlav,1000.0,rIVR,ma27,1.0e-5
23,3,0.0018699169158935547,6,OPTIMAL,31.478627225422496,rwlav,1000.0,rIVR,gurobi,1.0e-5
23,3,0.016914844512939453,6,LOCALLY_SOLVED,14.787129593145977,rwlav,1000.0,rIVR,ma27,1.0e-5
23,4,0.23200082778930664,153,OPTIMAL,175.04920776003544,rwlav,1000.0,rIVR,gurobi,1.0e-5
23,4,0.35764384269714355,153,LOCALLY_SOLVED,143.56909065320465,rwlav,1000.0,rIVR,ma27,1.0e-5
